timestamp,power_mW
1746601958.4314945,43340
1746601958.4458792,43340
1746601958.4611635,41161
1746601958.4768655,41161
1746601958.4923131,41161
1746601958.5077004,41161
1746601958.5232341,41161
1746601958.5389237,41161
1746601958.5541086,41161
1746601958.5700772,38978
1746601958.5860095,38978
1746601958.6015277,38978
1746601958.616963,38978
1746601958.6325474,38978
1746601958.6486516,38978
1746601958.6641572,36766
1746601958.679195,36766
1746601958.694702,36766
1746601958.7097697,36766
1746601958.7244673,36766
1746601958.7395086,36766
1746601958.754646,36766
1746601958.7697911,34538
1746601958.7849803,34538
1746601958.8008249,34538
1746601958.816592,34538
1746601958.8325822,34538
1746601958.8471086,34538
1746601958.8622613,34267
1746601958.877647,34267
1746601958.8929496,34267
1746601958.9088886,34267
1746601958.9244883,34267
1746601958.9398708,34267
1746601958.9553204,34267
1746601958.9711626,34183
1746601958.9868934,34183
1746601959.0018296,34183
1746601959.0180628,34183
1746601959.032963,34183
1746601959.0489764,34183
1746601959.0641818,34085
1746601959.079941,34085
1746601959.0952725,34085
1746601959.1110718,34085
1746601959.1270306,34085
1746601959.1427324,34085
1746601959.158818,34021
1746601959.174467,34021
1746601959.189787,34021
1746601959.2059448,34021
1746601959.2213886,34021
1746601959.2369752,34021
1746601959.2518516,34021
1746601959.2672453,33935
1746601959.2834249,33935
1746601959.2985816,33935
1746601959.31421,33935
1746601959.3294737,33935
1746601959.3446133,33935
1746601959.3602211,33885
1746601959.3756087,33885
1746601959.3910415,33885
1746601959.4070117,33885
1746601959.4223971,33885
1746601959.4375389,33885
1746601959.4534385,33885
1746601959.4686766,33860
1746601959.4840646,33860
1746601959.5001526,33860
1746601959.5153327,33860
1746601959.5311632,33860
1746601959.5465846,33860
1746601959.5615785,33816
1746601959.576982,33816
1746601959.5921137,33816
1746601959.6072814,33816
1746601959.6231666,33816
1746601959.638572,33816
1746601959.6541944,33816
1746601959.6705134,33773
1746601959.6857152,33773
1746601959.7010949,33773
1746601959.716247,33773
1746601959.7319112,33773
1746601959.7473526,33773
1746601959.7626855,33724
1746601959.7787905,33724
1746601959.7940938,33724
1746601959.8098476,33724
1746601959.8250425,33724
1746601959.8406591,33724
